# coverage <= 70.0% 인 클래스 목록
# 형식: <coverage%>	missed=<N>	covered=<N>	<fully-qualified-class-name>

  0.0%	missed= 117	covered=   0	tetris.view.tetris.view.TetrisFrame$5
  0.0%	missed=  17	covered=   0	tetris.view.tetris.view.TetrisFrame$3$1
  0.0%	missed=  12	covered=   0	tetris.view.tetris.view.TetrisFrame$12
  0.0%	missed=   8	covered=   0	tetris.view.tetris.view.TetrisFrame$11
  0.0%	missed=   3	covered=   0	tetris.view.tetris.view.MainPanel$3
  0.0%	missed=   3	covered=   0	tetris.view.tetris.view.MainPanel$2
  0.0%	missed=   1	covered=   0	tetris.network.protocol.tetris.network.protocol.NetworkProtocol
  2.1%	missed=  46	covered=   1	tetris.view.tetris.view.TetrisFrame$1
  2.3%	missed= 260	covered=   6	tetris.view.tetris.view.TetrisFrame$3
  8.3%	missed=  11	covered=   1	tetris.view.tetris.view.TetrisFrame$4
 10.0%	missed=   9	covered=   1	tetris.multiplayer.handler.tetris.multiplayer.handler.NetworkedMultiplayerHandler$1
 10.0%	missed=   9	covered=   1	tetris.network.tetris.network.NetworkManager$1
 12.5%	missed=   7	covered=   1	tetris.controller.tetris.controller.SettingController$4
 20.0%	missed=   4	covered=   1	tetris.multiplayer.handler.tetris.multiplayer.handler.LocalMultiplayerHandler$1
 20.0%	missed=   4	covered=   1	tetris.domain.item.tetris.domain.item.ItemBehavior
 25.0%	missed=   3	covered=   1	tetris.domain.model.tetris.domain.model.GameClock$2
 25.8%	missed=  46	covered=  16	tetris.multiplayer.controller.tetris.multiplayer.controller.LocalMultiPlayerController
 30.8%	missed= 110	covered=  49	tetris.concurrent.tetris.concurrent.NetworkThread
 32.2%	missed= 137	covered=  65	tetris.multiplayer.controller.tetris.multiplayer.controller.NetworkMultiPlayerController
 33.3%	missed=   4	covered=   2	tetris.domain.engine.tetris.domain.engine.GameplayEngine$1
 35.3%	missed= 134	covered=  73	tetris.concurrent.tetris.concurrent.GameThread
 36.8%	missed=  60	covered=  35	tetris.view.GameComponent.tetris.view.GameComponent.AttackQueuePanel
 37.2%	missed= 172	covered= 102	tetris.view.tetris.view.MainPanel
 38.8%	missed= 279	covered= 177	tetris.controller.tetris.controller.GameController
 39.0%	missed=  83	covered=  53	tetris.view.GameComponent.tetris.view.GameComponent.NetworkMultiGameLayout
 42.4%	missed=  91	covered=  67	tetris.network.client.tetris.network.client.ClientHandler
 44.3%	missed= 476	covered= 378	tetris.domain.tetris.domain.GameModel
 48.5%	missed= 106	covered= 100	tetris.domain.engine.tetris.domain.engine.GameplayEngine
 49.2%	missed=  93	covered=  90	tetris.view.GameComponent.tetris.view.GameComponent.GamePanel
 51.1%	missed=  67	covered=  70	tetris.network.server.tetris.network.server.GameServer
 51.7%	missed=  14	covered=  15	tetris.util.tetris.util.KeyMapper
 54.9%	missed=  64	covered=  78	tetris.network.client.tetris.network.client.GameClient
 56.2%	missed=  39	covered=  50	tetris.network.tetris.network.NetworkManager
 57.1%	missed=   3	covered=   4	tetris.concurrent.tetris.concurrent.GameThread$GameEvent
 57.1%	missed=   9	covered=  12	tetris.domain.item.tetris.domain.item.ItemManager
 60.0%	missed=  12	covered=  18	tetris.domain.setting.tetris.domain.setting.SettingService
 61.3%	missed=  46	covered=  73	tetris.multiplayer.handler.tetris.multiplayer.handler.NetworkedMultiplayerHandler
 62.8%	missed= 125	covered= 211	tetris.view.tetris.view.TetrisFrame
 64.8%	missed=  38	covered=  70	tetris.network.server.tetris.network.server.ServerHandler
 66.7%	missed=   2	covered=   4	tetris.domain.tetris.domain.GameModel$1
 66.7%	missed=   7	covered=  14	tetris.network.protocol.tetris.network.protocol.GameMessage
 70.0%	missed=  18	covered=  42	tetris.multiplayer.handler.tetris.multiplayer.handler.LocalMultiplayerHandler
